task,prep_time_min,driver_dist_km,traffic_index,driver_eta_min,food_prep_progress,food_temp_c,outcome
easy,15.3,2.48,1.28,6.32,1.0,75.0,hot
easy,15.94,2.02,1.07,4.33,1.0,75.0,hot
easy,15.13,2.84,1.2,6.81,1.0,75.0,hot
easy,14.15,3.44,1.28,8.79,0.9431,75.0,hot
easy,15.07,3.56,1.25,8.89,1.0,75.0,hot
easy,14.14,3.18,1.1,7.03,0.9427,75.0,hot
easy,15.88,2.98,1.18,7.03,1.0,75.0,hot
easy,14.32,3.61,1.18,8.56,0.9546,75.0,hot
easy,14.57,2.82,1.25,7.08,0.9714,75.0,hot
easy,15.37,3.21,1.24,7.97,1.0,75.0,hot
easy,17.14,2.8,1.15,6.43,1.0,75.0,hot
easy,14.19,3.31,1.31,8.69,0.9457,75.0,hot
easy,14.89,2.58,1.12,5.77,0.9924,75.0,hot
easy,15.65,3.37,1.25,8.46,1.0,75.0,hot
easy,14.33,3.12,1.21,7.55,0.9556,75.0,hot
easy,15.22,3.44,1.22,8.4,1.0,75.0,hot
easy,15.68,3.03,1.23,7.46,1.0,75.0,hot
easy,15.63,2.27,1.17,5.31,1.0,75.0,hot
easy,14.53,2.68,1.17,6.29,0.9686,75.0,hot
easy,16.49,2.57,1.3,6.66,1.0,75.0,hot
easy,13.32,2.83,1.22,6.89,0.8878,75.0,hot
easy,15.59,3.36,1.28,8.59,1.0,75.0,hot
easy,14.65,2.77,1.29,7.12,0.9768,75.0,hot
easy,14.81,2.36,1.09,5.13,0.9872,75.0,hot
easy,14.08,3.25,1.21,7.89,0.9387,75.0,hot
easy,15.69,2.79,1.22,6.78,1.0,75.0,hot
easy,15.63,2.85,1.25,7.09,1.0,75.0,hot
easy,14.34,2.82,1.16,6.55,0.9559,75.0,hot
easy,13.8,3.24,1.15,7.48,0.9203,75.0,hot
easy,15.01,3.24,1.24,8.07,1.0,75.0,hot
easy,15.67,2.95,1.16,6.83,1.0,75.0,hot
easy,14.92,2.16,1.06,4.55,0.9947,75.0,hot
easy,13.68,2.5,1.24,6.2,0.9118,75.0,hot
easy,14.09,2.81,1.33,7.48,0.9396,75.0,hot
easy,14.64,3.37,1.11,7.46,0.9762,75.0,hot
easy,14.79,2.52,1.17,5.89,0.9863,75.0,hot
easy,15.84,2.14,1.24,5.31,1.0,75.0,hot
easy,15.24,2.7,1.06,5.71,1.0,75.0,hot
easy,15.07,2.74,1.22,6.69,1.0,75.0,hot
easy,15.02,3.8,1.18,8.94,1.0,75.0,hot
easy,13.98,3.09,1.22,7.55,0.9318,75.0,hot
easy,16.36,3.42,1.24,8.45,1.0,75.0,hot
easy,16.46,2.41,1.14,5.47,1.0,75.0,hot
easy,14.07,2.81,1.06,5.96,0.9382,75.0,hot
easy,15.64,2.89,1.05,6.08,1.0,75.0,hot
easy,13.98,3.16,1.28,8.11,0.9323,75.0,hot
easy,17.0,4.46,1.24,11.07,1.0,75.0,hot
easy,14.01,1.93,1.23,4.75,0.934,75.0,hot
easy,14.19,2.79,1.14,6.36,0.9458,75.0,hot
easy,14.86,3.53,1.22,8.59,0.9906,75.0,hot
easy,14.84,2.48,1.03,5.13,0.9894,75.0,hot
easy,14.51,2.97,1.38,8.19,0.9676,75.0,hot
easy,15.13,3.49,1.15,8.03,1.0,75.0,hot
easy,13.82,2.52,1.13,5.68,0.921,75.0,hot
easy,17.13,2.59,1.28,6.65,1.0,75.0,hot
easy,14.1,3.47,1.24,8.58,0.9398,75.0,hot
easy,14.84,2.98,1.13,6.76,0.9896,75.0,hot
easy,15.45,2.77,1.08,5.97,1.0,75.0,hot
easy,13.72,3.09,1.36,8.38,0.9148,75.0,hot
easy,15.16,2.94,1.23,7.23,1.0,75.0,hot
easy,16.31,3.11,1.16,7.21,1.0,75.0,hot
easy,16.11,3.21,1.35,8.7,1.0,75.0,hot
easy,15.18,2.39,1.06,5.08,1.0,75.0,hot
easy,16.65,3.86,1.18,9.13,1.0,75.0,hot
easy,14.62,3.73,1.09,8.13,0.9745,75.0,hot
easy,14.11,3.32,1.16,7.71,0.9404,75.0,hot
easy,14.99,2.92,1.23,7.2,0.9997,75.0,hot
easy,16.41,3.05,1.26,7.7,1.0,75.0,hot
easy,12.95,2.98,1.12,6.64,0.8633,75.0,hot
easy,13.78,2.56,1.17,5.98,0.9187,75.0,hot
easy,15.92,2.34,1.2,5.62,1.0,75.0,hot
easy,14.52,2.84,1.3,7.38,0.9677,75.0,hot
easy,15.54,3.67,1.18,8.69,1.0,75.0,hot
easy,14.3,2.89,1.22,7.07,0.9536,75.0,hot
easy,15.18,2.46,1.21,5.94,1.0,75.0,hot
easy,15.23,4.26,1.39,11.82,1.0,75.0,hot
easy,14.15,2.86,1.05,6.02,0.9431,75.0,hot
easy,14.41,3.16,1.32,8.34,0.9606,75.0,hot
easy,14.27,2.67,1.0,5.35,0.9514,75.0,hot
easy,14.84,2.47,1.15,5.66,0.9892,75.0,hot
easy,14.12,2.95,1.02,6.05,0.9415,75.0,hot
easy,13.53,4.06,1.07,8.71,0.9022,75.0,hot
easy,13.9,3.92,1.49,11.68,0.9269,75.0,hot
easy,13.83,2.82,1.23,6.95,0.9219,75.0,hot
easy,16.73,2.51,1.18,5.89,1.0,75.0,hot
easy,15.78,3.22,1.16,7.48,1.0,75.0,hot
easy,14.87,2.31,1.18,5.44,0.9911,75.0,hot
easy,14.73,3.12,1.14,7.13,0.9822,75.0,hot
easy,15.47,3.51,1.22,8.52,1.0,75.0,hot
easy,15.35,3.03,1.2,7.26,1.0,75.0,hot
easy,14.28,3.16,1.19,7.52,0.9519,75.0,hot
easy,17.09,3.79,1.24,9.38,1.0,75.0,hot
easy,14.24,2.44,1.32,6.45,0.9491,75.0,hot
easy,15.26,3.24,1.03,6.65,1.0,75.0,hot
easy,15.93,3.23,1.09,7.03,1.0,75.0,hot
easy,14.53,3.13,1.21,7.55,0.9686,75.0,hot
easy,14.71,2.95,1.17,6.93,0.9805,75.0,hot
easy,15.15,3.74,1.0,7.47,1.0,75.0,hot
easy,14.76,3.09,1.23,7.59,0.9842,75.0,hot
easy,14.63,2.12,1.23,5.23,0.9752,75.0,hot
easy,16.73,2.23,1.29,5.75,1.0,75.0,hot
